Compare EBS with instance store volumes.,"EBS are persistent, instance store volumes are ephemeral. Instance store volumes are local to the EC2 host, while EBS are not. Instance store volumes provide much higher throughput and IOPS than EBS.",ec2,
What is the maximum possible IOPS of GP2/3?,"16,000 IOPS",ec2,
What is the maximum possible IOPS of IO1/2?,"64,000 IOPS ordinarily. 256,000 IOPS is possible if using BlockExpress with bigger volume types.",ec2,
What is the maximum possible IOPS of any EBS?,"260,000 IOPS can be achieved using RAID0 + EBS. A RAID0 set is created from multiple EBS volumes.",ec2,
"What storage should you use if you need 500,000 IOPS?","To achieve 500,000 IOPS, you need to use instance store volumes. EBS volumes can only achieve up to 260,000 IOPS.",ec2,
Where are EBS snapshots stored?,EBS snapshots are stored in S3.,ec2,
"What is meant by EBS snapshots being ""incremental""?",Incremental means that the first snapshot is a full copy of the data on the volume. Subsequent snapshots are stored as the changes from the previous snapshots. This results in less storage usage.,ec2,
"If you delete an incremental EBS snapshot, do later snapshots become unreachable?","No, when an incremental EBS snapshot is deleted, the system makes sure later snapshots are still valid.",ec2,
How does the performance of a newly created EBS volume compare with that of an EBS volume restored from a snapshot?,"A new EBS volume immediately has full performance. However, a volume restored from a snapshot is restored lazily, meaning its contents are fetched gradually. Requested blocks are fetched immediately. It can be restored to full performance by deliberately requesting to read all of its data.",ec2,
What is Fast Snapshot Restore (FSR)?,"Fast Snapshot Restore immediately restores EBS volumes from snapshots, without having to wait for gradual restoration or requesting to read all of its data.",ec2,
Is there a limit on how many Fast Snapshot Restores you can have?,"Yes, you can have up to 50 FSRs per region. Each individual snapshot restored to an AZ takes up one of these.",ec2,
How are you billed for EBS snapshots?,"EBS snapshots are billed by gigabyte-per-month usage. Only used data is considered, not total allocated data.",ec2,
Can you set AWS accounts to encrypt EBS volumes by default?,Yes. You can also set the default CMK to use for this encryption.,ec2,
What is a data encryption key? What is it used for?,A data encryption key is an encrypted key that is generated by a CMK. It is stored with the data volume it was created for and can only be decrypted by KMS. The decrypted form of this key is only ever stored in memory of an EC2 host while it's being used.,ec2,
Does it cost extra to use data encryption in EBS volumes?,"No, there is no extra cost to encrypting EBS volumes. It should be used by default.",ec2,
What happens when you make a snapshot of an encrypted EBS volume?,"The same data encryption key is used for the snapshot and any subsequent snapshots. Addtionally, volumes made from those snapshots use the same key.",ec2,
Can you change an encrypted volume to a not-encrypted volume?,"No, once you encrypt a volume, it stays that way.",ec2,
Is the operating system aware of encryption?,"No, the operating system is not aware of encryption. It only sees plaintext. If the OS itself needs to work with encryption, then disk encryption within the OS is needed. This can reduce performance.",ec2,
Are public IPv4 addresses static or dynamic?,Public IPv4 addresses are dynamic.,ec2,
What happens to the public IPv4 address when you get an elastic IP?,"When you get an elastic IP, the public IPv4 address is removed and replaced with the elastic IP. If the elastic IP is then removed, you get a new public IPv4 which is different from the former one.",ec2,
What kind of addresses do network interfaces have?,"Network interfaces have: a primary IPv4 private IP, optional secondary IPs, an optional public IPv4 address, an optional elastic IP which replaces the private IPv4 address, and optional IPv6 addresses.",ec2,
Do you ever have to configure a public IPv4 address for an EC2 instance?,"No, the public IPv4 address is handled by NAT. The OS is never aware of its public IPv4. You only have to configure a private IPv4 address.",vpc,
"If you stop and start an EC2 instance, will it still have the same IPv4 Public IP?","No, IPv4 public IPs are allocated dynamically. Once you start the EC2 instance again, it will be given a new IPv4 public IP. Note: if you restart the instance, the IPv4 public IP is kept.",vpc,
Can an AMI be used to launch an EC2 instance in any region?,"No, AMIs are regional; they are tied to a specific region.",ec2,
Can an AMI be edited once it is made?,"No, AMIs cannot be edited. You need to launch the instance, update the configuration, and make a new AMI.",ec2,
What are the two cluster modes that ECS can be run in?,ECS can be run in EC2 mode or Fargate mode.,ecs,
How does ECS run containers?,"You give ECS a container image, and ECS runs that container image in a cluster.",ecs,
How does ECS get access to your container images?,"To get ECS access to your container images, you can use a container registry such as Elastic Container Registry or DockerHub.",ecs,
How are containers represented in ECS?,"A container in ECS has a container definition and a task definition. A container definition is like a pointer to the task definition, which contains data for running your application.",ecs,
How many containers can a task have?,"Many tasks have one container, but can have more than one container.",ecs,
How can a task gain access to AWS resources?,A task can be given access to AWS resources via its task role.,ecs,
What are ECS services used for?,ECS services are for configuring scalability and high availability of tasks running in ECS.,ecs,
What is included in a container definition?,"Container definitions define what container image is used, and what ports are exposed.",ecs,
What is included in a task definition?,"Task definitions include a task role, a container, and resources.",ecs,
How is bootstrapping performed in EC2 instances?,EC2 instances can be bootstrapped by providing a script in its user data. The instance will run this script at startup.,ec2,
What is the user data IP address?,http://169.254.169.254/latest/user-data,ec2,
Walk through the process of bootstrapping an EC2 instance.,"An AMI is used to launch an EC2 instance. This creates an EBS volume which is connected to the instance. Then, the EC2 service provides user data to the instace. The instance runs the executes the contents of user data on launch.",ec2,
What are some downsides of passing in scripts via user data?,"Scripts that are incorrect are executed anyway. Also, user data is not secure as it can be accessed by anyone connected to the instance. Passwords, credentials, and other sensitive data should not be stored in user data.",ec2,
What is the size limit of user data?,16 KB,ec2,
How is user data encoded?,Base-64 encoding,ec2,
How many times is user data executed?,"User data is executed once, at launch.",ec2,
Can an instance's user data be modified?,"Yes, an instance's user data can be modified, but only when the instance is stopped.",ec2,
What are two ways of reducing boot-time-to-service-time? How should each be used?,"AMI Baking and Bootstrapping. AMI baking is for installation at launch, bootstrapping is for configuration after launch.",ec2,
What is CFN-INIT (CloudFormation Init) used for?,CFN-INIT is used for passing complex bootstrapping instructions into an EC2 instance.,ec2,
How does CFN-INIT differ from user data?,"User data is procedural, which means that it contains a sequence of steps. While CFN-INIT can be procedural, it can also be used in a 'desired state' manner. This means that the user can define a desired state, and CFN-INIT will perform steps necessary to achieve that state.",ec2,
How is CFN-INIT executed?,CFN-INIT is executed with directives provided via user data. This is defined in a section of CloudFormation templates called AWS::CloudFormation::Init. This section is in the Metadata section of EC2Instance. The CFN-INIT command itself is executed from user data.,ec2,
Can CFN-INIT be executed after launch time?,"Yes, CFN-INIT works with stack updates. It can watch for changes in metadata in its CFN template and execute steps needed to update the desired state.",ec2,
What are signals used for in CFN-INIT?,Signals can be used to notify CFN if post-launch configuration is successful. A timeout is defined in the CreationPolicy section of the CFN template.,ec2,
What is an instance profile?,The instance profile is a wrapper around an IAM role. It has the same name as its IAM role and is attached to an EC2 instance to provide permissions. Temporary credentials are delivered via instance metadata.,ec2,
What is SSM Parameter Store used for?,"SSM Parameter Store is used for securely storing configuration data including strings, secrets, and documents. It includes versioning and allows storage in a hierarchical structure.",ec2,
What are some examples of data stored in SSM Parameter Store?,"License codes, database strings, configs, passwords",ec2,
What are public parameters?,Public parameters are parameters that are publicly available and provided by AWS. An example is AMI IDs for launching EC2 instances via CFN.,ec2,
Can CloudWatch Logs log data inside an EC2 instance? (e.g. CPU usage by programs),"No, CloudWatch Logs can only log data at an AWS service level, but not at an operating system level. A CloudWatch Agent is required to log OS-level data in an EC2 instance.",ec2,
What steps are necessary to log system and application data from an EC2 instance?,"Security and permissions need to be configured, and the CloudWatch Agent must be installed.",ec2,
What are EC2 placement groups used for?,EC2 placement groups define how EC2 instances are physically positioned relative to each other.,ec2,
What are the three kinds of EC2 placement groups?,Cluster: pack instances close together. Spread: keep instances separated. Partition: groups of instances spread apart.,ec2,
What are the pros and cons of using cluster placement?,"Cluster placement has high performance due to all instances having direct connections to each other. Because of this, they all belong to the same AZ which means that if the AZ fails, all instances fail. Also, only supported instance types can be clustered.",ec2,
How can you achieve 10 Gbps single stream performance using EC2?,You can achieve 10 Gbps single stream performance using EC2 by using cluster placement groups.,ec2,
What are the pros and cons of using spread placement?,Spread placement groups have high availability and resilience. Each instance runs on a different rack and won't impact one another.,ec2,
What is the use case of spread placement groups?,Small number of critical instances that need to be kept separated from each other,ec2,
"Using spread placement, how many instances can be in the same AZ?","When using spread placement, you can have up to 7 instances in the same AZ.",ec2,
How are partition placement groups different from spread placement groups?,"In partition placement groups, you define up to 7 partitions in an AZ. In each partition, you can launch a variable number of instances. This is different from spread partition groups which assigns each instance to a different partition.",ec2,
What are the pros and cons of using partition placement?,"Partition placement gives you greater control over how instances are grouped, but it introduces more administrative overhead as this is done manually.",ec2,
What is an EC2 dedicated host? What options are available?,An EC2 dedicated host is an EC2 host that is dedicated specifically for your personal use. There are on-demand and reserved options available.,ec2,
What are some limitations of EC2 dedicated hosts?,"EC2 dedicated hosts do not support RHEL, SUSE Linux, or Windows AMIs. EC2 dedicated hosts do not support Amazon RDS instances or placement groups.",ec2,
How does enhanced networking work?,"Enhanced networking uses SR-IOV, in which the NIC (Network Interface Card) is virtualization aware.",ec2,
What benefits does enhanced networking provide?,"Enhanced networking provides higher I/O, lower host CPU usage, more bandwidth, higher packets-per-second, and consistent lower latency.",ec2,
What is EBS optimized?,"In EBS optimized, stack optimizations and dedicated capacity are provided to an EBS volume.",ec2,
Do all EBS volumes have EBS optimized?,"Most instances support EBS optimized and have it enabled by default. For some instances, enabling it costs extra.",ec2,
What are the two consistency models of databases?,ACID and BASE,db,
What do ACID and BASE stand for?,ACID: Atomic Consistent Isolated Durable. BASE: Basically Available Soft State Eventually Consistent.,db,
What is the difference between ACID and BASE?,"ACID databases ensure consistency, meaning that when data is read, it is updated. BASE does not ensure consistency and defers to the developer to ensure consistency. BASE is highly scalable as it does not need to worry about consistency. RDS are ACID, NoSQL databases are BASE.",db,
"Running databases on EC2 is generally discouraged, but what are some reasons why you might want to?","You might want to run a database on EC2 if: you want access to the DB instance OS, you need advanced DB option tuning, you need a DB or DB version not provided by AWS, you need a specific OS/DB combination, you need a specific architecture, or for whatever reason your boss just wants you to.",db,
What are some reasons to not run databases on EC2?,"Admin overhead, additional backup overhead, EC2 is single AZ, AWS DB products generally have more features, EC2 is hard to scale, need to configure replication, not optimized",db,
Is it entirely accurate to call RDS a Database-as-a-service (DBaaS)?,Not quite. RDS is more of a Database-Server-as-a-service. RDS provides you with a managed database instance. You can make one or more databases on that instance.,db,
What database types are supported by RDS?,"MySQL, MariaDB, PostgreSQL, Oracle, Microsoft SQL Server, Amazon Aurora",db,
What is the basic building block of RDS?,RDS Database Instance. It runs a database engine and can contain user-created databases.,db,
How many databases does an RDS database instance have when it is created?,"If a database name is provided on setup, an RDS database instance has one database when it is created, but more can be added.",db,
How do you access databases on RDS instances?,"You access databases through their database host-names, or CNAME. This resolves to the database instance itself. You cannot connect via IP and you need to use the CNAME.",db,
What does an RDS database instance use for storage?,An RDS database instance uses an EBS volume in the same availability zone. This makes it vulnerable to AZ failure.,db,
How are RDS instances billed?,"You are billed for the instance itself (like an EC2 instance) and for the storage (like an EBS volume). For the storage, you are billed per gigabyte-month.",db,
How do RDS instances know what AZs to inhabit?,RDS instances have a subnet group which indicates that subnets will contain its data.,db,
Which relational databases are commercial and require a license to use?,Oracle and Microsoft SQL Server,db,
What are the different database authentication options?,"Password authentication, password and IAM authentication, password and Kerberos authentication",db,
How can you control access to a database instance?,"You can control access to RDS instances via aecurity groups. If you need your application to access your database, you will need to configure the security group to allow this.",db,
Suppose you have an EC2 instance running Wordpress with a MySQL hostname set to the private IPv4 address of your RDS instance. Will your Wordpress instance be able to connect to the database?,"No, you cannot connect to a database instance using its IP address. You need to use its CNAME, which can be found in the endpoint section of its instance page in RDS.",db,
What happens when you enable multi-AZ for an RDS instance?,"When you enable multi-AZ, a standby replica instance is created in another AZ, along with storage. Synchronous replication occurs from the primary instance to the standby instance.",db,
Can a standby RDS instance be accessed?,"Normally, you cannot access a standby RDS instance. The CNAME of a database always points to the primary instance. However, if the primary instance fails, the CNAME will temporarily point to the standby instance until the issue is resolved.",db,
Can a standby replica be used to scale up the number of reads?,"No, a standby replica cannot be used directly. It cannot be accessed unless there is a failover.",db,
How long does RDS failover usually take?,60 - 120 seconds,db,
Can a standby replica be in another region?,"No, multi-AZ can only be configured using other AZs in the same region.",db,
Does a standby replica provide any performance improvements?,Backups are taken from the standby which removes the impact of backing up the primary instance.,db,
Explain RPO (Recovery Point Objective),RPO refers to the time between a database failure and the last backup. It gives a measure of amount of maximum data loss. Lower values require more costly solutions.,db,
Explain RTO (Recovery Time Objective),RTO refers to the time between a database failure and when the database is returned to service. Lower values require more costly solutions.,db,
What kind of backups are used by RDS?,Automatic backups and manual snapshots. Both use AWS managed S3 buckets.,db,
Are AWS managed S3 buckets visible within the S3 console?,"No, AWS managed S3 buckets are not visible within the S3 console",s3,
Are automatic backups always made from the primary RDS instance?,"Automatic backups are only made from the primary RDS instance if multi-AZ is not enabled. Otherwise, the standby instance is always used.",db,
How are RDS snapshots stored?,RDS snapshots are stored in S3 incrementally. They are stored permanently until you delete them manually.,db,
Does AWS make snapshots of individual databases?,"No, AWS makes snapshots of entire database instances, which means all databases on that instance are in the snapshot.",db,
What are transaction logs?,"Transaction logs are logs of database transactions that are taken every 5 minutes. They can be used to bring a database back to an updated state, which results in low RPO.",db,
What happens when you restore an RDS instance from a snapshot?,"An RDS instance restored from a snapshot will have a new address, meaning that applications connected to the original instance will need addresses updated. If databases are large, restore can be slow.",db,
What can backups protect from that replication cannot?,"Backups can protect from data corruption because you can restore databases to a point from before the corruption happened. However, replication will replicate the corrupted data.",db,
Is data replicated synchronously to read replicas?,"No, data is replicated asynchronously to read replicas.",db,
Does a read replica need to be in the same region as the original RDS instance?,"No, a read replica can be in a separate region from the original RDS instance. This is called a cross-region read replica.",db,
How many direct read-replicas can a DB instance have?,A DB instance can have 5 read replicas,db,
Can read replicas have read replicas?,"Yes, read replicas can have read replicas but lag starts to be a problem",db,
How can read replicas provide low RTO values?,"A read replica can be promoted quickly to a main DB instance. At that point, it can be both read from and written to.",db,
Can read replicas protect against data corruption?,"No, corrupted data is replicated to replicas. To recover from data corruption, you need to use snapshots and backups.",db,
Can read replicas improve write scaling?,"No, read replicas only improve read scaling.", db,
Is it possible to require a database instance to require encryption in transit? (SSL/TLS),"Yes, you can set in-transit encryption to be mandatory.",db,
What kinds of encryption are avaliable for RDS?,RDS supports SSL/TLS (in-transit) encryption as well as EBS volume encryption via KMS.,db,
What kind of encryption are available for Microsoft SQL and Oracle?,"MSSQL and Oracle support TLE: Transparent Data Encryption. Encryption is handled within the DB engine, not the host. This means there is less trust. Additionally, Oracle supports integration with CloudHSM which is even more secure.", db,
Can you configure RDS to require authentication beyond the DB username and password?,"Yes, you can configure RDS to require IAM authentication via an AWS authentication token.",db,
How is an RDS AWS authentication token generated?,The IAM user or EC2 role has a policy attached to it that maps it to the local RDS user. This gives access to the generate-db-auth-token operation which creates a token with a 15 minute validity which can be used in place of a DB username and password.,db,
How is Aurora's architecture different from RDS?,"Aurora uses a cluster, while standard RDS does not. Aurora has a single primary instance with 0 or more replicas. Aurora's replicas provide the benefits of both RDS multi-AZ and RDS read replicas. Additionally, Aurora does not use local storage and instead uses storage which is shared among instances in a cluster.",db,
What kind of storage does Amazon Aurora use? What benefits does its storage provide?,"Aurora does not use local storage - it uses storage which is shared among the instances in its cluster. This provides faster provisioning, improved availability and better performance.",db,
What is the maximum size of Aurora's storage?,128 TiB,db,
How does Aurora prevent data loss & corruption?,"Aurora's system monitors its disk volumes for data errors. If data errors are detected, it automatically repairs them using data from other storage nodes.",db,
How many replicas can Aurora have?,15 replicas,db,
Can you configure Aurora to use magnetic storage?,"No, all Aurora storage is SSD based.",db,
How do endpoints work in Aurora?,"Aurora clusters have a cluster endpoint and a reader endpoint. The cluster endpoint points to the primary instance and supports read and write operations. The reader endpoint points to replicas (if available) and supports read operations. Read operations are load-balanced to the reader endpoints. Additionally, users can create custom endpoints.",db,
How are you billed for Aurora?,"Aurora has the following cost components: compute - hourly charge, per second, 10 minute minimum; storage - GB-month consumed, high-water mark, IO cost per request. Storage for backups is also included in cost.",db,
What unique restoration features does Aurora have over RDS?,Aurora has the backtrack and fast clone features.,db,
Describe Aurora's backtrack feature.,"If Aurora's backtrack feature is enabled, Aurora can rollback to a past point in time in-place.",db,
Describe Aurora's fast clone feature.,A fast clone references the original database and only stores differences between itself and that database. This makes it consume a low amount of storage.,db,
How does Aurora Serverless work?,"Aurora Serverless uses ACUs (Aurora Capacity Units). You can set a minimum and maximum ACU for an Aurora Serverless cluster, and the cluster will adjust based on load. If load is 0, the instance is paused. The user is billed on a per-second basis.",db,
What are some use cases for Aurora Serverless?,"Infrequently used apps, experimental apps, variable or unpredictable workloads, dev and test databases, multi-tenant apps",db,
How does Aurora Serverless' architecture differ from standard Aurora?,"Because Aurora Serverless instances are dynamic, Aurora Serverless uses a fleet of proxy instances to broker connects between apps and Aurora Serverless DB instances.",db,
Describe Aurora Global Database.,Aurora Global Database allows multi-region Aurora operation. You can have an Aurora cluster in a primary region and secondary region. All instances in the secondary region will be replicas.,db,
When would you use Aurora Global Database?,"Cross-region disaster recovery and business continuity, global read scaling, fast replication between regions",db,
How does Database Migration Service (DMS) work?,DMS runs a replication instance which runs user-defined replication tasks. The replication instance operates between a source endpoint and a destination endpoint which connect the source and target databases.,db,
What are the 3 different types of jobs that DMS supports?,"Full load (one off migration of all data), full load + CDC (change data capure) for ongoing replication which captures changes, CDC only",db,
Does DMS provide schema conversion by default?,"No, but you can use the Schema Conversion Tool for schema conversion",db,
Describe what EFS provides.,EFS provides a network-based file system that can be mounted within Linux EC2 instances and used by multiple instances at once.,efs,
How can EFS be used to improve website performance?,"Media used on websites are still available as EC2 instances are added and removed, which improves scalability.",efs,
Is EFS a public service?,"No, EFS is a private service. They are isolated to the VPC they are provisioned into.",efs,
How is EFS accessed?,EFS is accessed via mount targets.,efs,
Can EFS be accessed outside its VPC?,"Yes, EFS can be accessed via hybrid networking from on-premises via VPN or Direct Connect.",efs,
How are Linux instances able to interact with EFS?,"EFS use POSIX permissions, which are understood by Linux instances.",efs,
What is a mount target?,A mount target is a target with an IP address taken from the address space of a subnet. It allows an EC2 instance to connect to EFS.,efs,
How can you improve availability of EFS resources?,You can improve availability of EFS resources by including a mount target in each subnet.,efs,
What are EFS' two performance modes?,General purpose and Max I/O. General purpose is suggested for most uses.,efs,
What are EFS' two throughput modes?,"Bursting and Provisioned. Generally, bursting is recommended.",efs,
What are EFS' two storage classes?,Standard and Infrequent Access (IA),efs,
Can you automatically move objects between EFS storage classes?,"Yes, EFS supports lifecycle policies.",efs,
What level of resiliency does EFS have?,EFS is region-based/resilient.,efs,
Can encryption of data at rest be enabled for EFS?,"Yes, for EFS you can enable encryption of data at rest. It uses AWS KMS.",efs,
What is best practice for configuring mount targets for EFS?,You should configure a mount target in each AZ that contains an instance that will connect to the EFS.,efs,
How can you control traffic for mount targets?,Mount targets can have security groups attached to them.,efs,
"When connected to an EC2 instance, how can you check if it has mounted an EFS?",You can use the command 'df -k' which will list everything mounted on the instance.,efs,
Describe the process of mounting an EFS to an EC2 instance.,"First, create a directory for the EFS to inhabit. Then, use yum to install amazon-efs-utils. Then, edit /etc/fstab to tell it to mount efs. We point it to the filesystem ID which can be found on the EFS' page in AWS. Finally, we use the 'mount' command to mount the EFS.",efs,
Describe what DNS is used for.,"DNS is a discovery service used for translating machine-understood addresses to human-understood addresses. It uses a huge, distributed database.",dns,
Summarize the process of connecting to a webpage via its URL.,"When you enter a URL, your device asks the DNS resolver to look for a nameserver containing the zone file for this URL. The zone file contains the DNS record for this URL, which gives you the IP address for this site.",dns,
Where are zone files stored?,Zone files are stored on potentially one or two out of millions of nameservers.,dns,
What does a DNS resolver server do?,A DNS resolver server resides in your router or internet provider and finds the zone for the URL you enter. It queries the DNS system on your behalf.,dns,
What is the DNS client?,The DNS client is a piece of software that runs on your device and wants the IP address of the URL you entered.,dns,
How does the DNS client interact with the DNS resolver?,The DNS client asks the DNS resolver to query DNS on its behalf.,dns,
What is a DNS zone?,"Examples of DNS zones are amazon.com, netflix.com, twitch.tv.",dns,
What is a zonefile?,A zonefile physically stores information on a zone.,dns,
What is a nameserver?,A nameserver hosts a zonefile. Nameservers are queried for zonefiles.,dns,
What is the DNS root?,"DNS is tree-structured, and the DNS root is at the top of this tree structure. The root is at the end of a URL e.g. amazon.com[.] It is added by your browser.",dns,
Where is the DNS root hosted?,The DNS root is hosted on 13 special name servers called the root servers.,dns,
How does your device find the DNS root?,The vendor of your device provides a root hints file that tells your device where to find the DNS root servers.,dns,
Who controls the root zone?,"IANA controls the root zone. Note that this is different from managing the root servers, which is done by 12 organizations.",dns,
What are examples of top-level domains?,".com, .org, .uk",dns,
How does delegation work in DNS?,"Delegation is the process wherein DNS servers delegate trust to another server. For example, when you find the root zone, it will delegate trust to another server which is authoritative for .com. The server that is authoritative for .com will delegate trust to another server which is authoritative for amazon.com.",dns,
Walk through a DNS lookup for www.amazon.com.,"First, our client asks a resolver server. The resolver server uses its root hints file to access the DNS root servers. The DNS root servers are only authoritative for the end of the URL, so it delegates for .com. Next, our resolver server accesses the .com  server. It is authoritative for .com but not amazon.com - however, it has name servers for amazon.com. Next, the resolver accesses servers that are authoritative for amazon.com. At this point, the resolver has what it needs to access www.amazon.com.",dns,
What is the root hints file?,The root hints file points at the root servers IPs and addresses.,dns,
What two functions are provided by Route 53?,Route 53 allows you to register domains and host zones files on managed nameservers.,dns,
What level of resiliency does Route 53 have?,Route 53 is globally resilient.,dns,
Describe the process of registering a domain with Route 53.,"Route 53 creates a zonefile for a domain, allocates nameservers to contain this zonefile, then liases with the registry responsible for the top-level domain.",dns,
What is a hosted zone?,A hosted zone is the AWS terminology for a zone file. It contains DNS records and is hosted on four managed nameservers.,dns,
Can a hosted zone be private?,"Yes, a hosted zone can be private or public. If it is private, it is linked to VPCs and only accessible within those VPCs.",dns,
What are the different types of DNS records?,"A (IPv4), AAAA (IPv6), CNAME (point to other names), MX (mail server), TXT (add arbitrary text to a domain)",dns,
What is time to live (TTL)?,TTL is a time limit for caching a non-authoritative answer. (An authoritative answer is a direct answer from a nameserver),dns,
What is split-view?,Split-view is having overlapping public and private zones for public and internal use with the same zone name.,dns,
What is the difference between an A record and a CNAME record?,An A record maps a name to an IP address, i.e. twitch.tv -> 1.3.3.7. A CNAME record maps a name to another name i.e. twitch.tv -> multitwitch.tv.,dns
Why would you use an ALIAS instead of a CNAME?,CNAMEs can only point a NAME to another NAME. A CNAME cannot be used for a naked domain name e.g. catagram.io. An ALIAS record maps a NAME to an AWS resource and can be used for naked/apex records.,dns,
What are ALIAS types?,ALIAS records have types which correspond to the types of DNS records i.e. A-type ALIAS. An ALIAS record should be the same type as what the record is pointing at.,dns,
Describe simple routing.,Simple routing supports 1 record per name. Each record can have multiple values and all values are returned to the client in a random order. The client chooses 1 value among these. Simple routing doesn't support health checks.,dns,
When is simple routing used?,Simple routing is used when you want to route requests towards one service such as a web server.,dns,
How are health checks executed?,Health checks are executed by a fleet of distributed health checkers which are located globally.,dns,
How often are health checks executed?,Health checks are executed ever 30 seconds. Every 10 seconds is an additional option that costs extra.,dns,
Describe failover routing.,"Failover routing consists of multiple records for the same name. Each record points to a different resource. Health checks are done on the primary record. If it is healthy, traffic is routed to the primary. If it is not healthy, traffic is routed to the secondary.",dns,
What is failover routing used for?,Failover routing is used to configure active passive failover.,dns,
Describe multi-value routing.,Multi-value routing supports multiple records with the same name. All can be configured to be health-checked. DNS will return up to 8 healthy ones at random.,dns,
What benefits does multi-value routing provide?,Multi-value routing improves availability.,dns,
Describe weighted routing.,"Weighted routing allows you to set a weight to each record, which indicates the probability that a request will be forwarded to that record.",dns,
What is weighted routing used for?,"Weighted routing is used for simple load balancing or testing new software versions. For example, if you want 5% of traffic to go to a new version of an app.",dns,
Describe latency routing.,Latency routing supports one record with the same name in each AWS region. AWS maintains a database of latency between users’ general location and records’ regions.,dns,
What is latency routing used for?,Latency routing is used to optimize performance and user experience.,dns,
Describe geolocation routing.,Geolocation routing is used to direct traffic based strictly on the location of the user.,dns,
How is geolocation routing different from latency routing?,"Latency routing is based on estimated latency, geolocation routing is based on absolute location.",dns,
